GEO_CODE_(POR),GEO_NAME,GEO_CODE_(POW),GEO_NAME,Dim:_Sex_(3):_Member_ID:_[1]:_Total_-_Sex,Dim:_Sex_(3):_Member_ID:_[2]:_Male,Dim:_Sex_(3):_Member_ID:_[3]:_Female
3507015,Brockville,3507014,Elizabethtown-Kitley,705,365,345
3507015,Brockville,3507008,Prescott,195,85,115
3507015,Brockville,3507006,Augusta,65,40,20
3507015,Brockville,3507004,Edwardsburgh_Cardinal,115,85,25
3507015,Brockville,3506008,Ottawa,185,125,60
3507015,Brockville,3501020,South_Dundas,30,20,10
3507015,Brockville,3501011,South_Stormont,20,15,0
3507017,Front_of_Yonge,3510010,Kingston,80,25,50
3507017,Front_of_Yonge,3507042,Athens,25,20,10
3507017,Front_of_Yonge,3507024,Gananoque,55,20,35
3507017,Front_of_Yonge,3507021,Leeds_and_the_Thousand_Islands,60,40,10
3507017,Front_of_Yonge,3507017,Front_of_Yonge,95,35,60
3507017,Front_of_Yonge,3507015,Brockville,415,180,235
3507017,Front_of_Yonge,3507014,Elizabethtown-Kitley,140,75,70
3507017,Front_of_Yonge,3507008,Prescott,30,20,10
3507017,Front_of_Yonge,3507006,Augusta,25,20,0
3507017,Front_of_Yonge,3506008,Ottawa,30,20,10
3507021,Leeds_and_the_Thousand_Islands,3520005,Toronto,25,10,10
3507021,Leeds_and_the_Thousand_Islands,3510010,Kingston,1275,575,700
3507021,Leeds_and_the_Thousand_Islands,3509004,Smiths_Falls,25,10,20
3507021,Leeds_and_the_Thousand_Islands,3507042,Athens,45,20,25
3507021,Leeds_and_the_Thousand_Islands,3507040,Rideau_Lakes,70,30,40
3507021,Leeds_and_the_Thousand_Islands,3507024,Gananoque,775,315,465
3507021,Leeds_and_the_Thousand_Islands,3507021,Leeds_and_the_Thousand_Islands,650,335,310
3507021,Leeds_and_the_Thousand_Islands,3507017,Front_of_Yonge,90,40,45
3507021,Leeds_and_the_Thousand_Islands,3507015,Brockville,370,170,205
3507021,Leeds_and_the_Thousand_Islands,3507014,Elizabethtown-Kitley,65,35,30
3507021,Leeds_and_the_Thousand_Islands,3506008,Ottawa,45,30,15
3507024,Gananoque,3510010,Kingston,705,345,360
3507024,Gananoque,3507024,Gananoque,1005,490,510
3507024,Gananoque,3507021,Leeds_and_the_Thousand_Islands,155,95,60
3507024,Gananoque,3507015,Brockville,50,15,35
3507033,Westport,3507033,Westport,110,35,75
3507040,Rideau_Lakes,3520005,Toronto,25,0,20
3507040,Rideau_Lakes,3510010,Kingston,350,180,175
3507040,Rideau_Lakes,3509028,Carleton_Place,65,45,25
3507040,Rideau_Lakes,3509021,Perth,365,190,170
3507040,Rideau_Lakes,3509015,Tay_Valley,40,15,25
3507040,Rideau_Lakes,3509010,Drummond_North_Elmsley,25,0,25
3507040,Rideau_Lakes,3509004,Smiths_Falls,780,325,455
3507040,Rideau_Lakes,3507065,North_Grenville,25,10,10
3507040,Rideau_Lakes,3507052,Merrickville-Wolford,45,0,40
3507040,Rideau_Lakes,3507042,Athens,65,35,25
3507040,Rideau_Lakes,3507040,Rideau_Lakes,580,285,290
3507040,Rideau_Lakes,3507033,Westport,185,80,105
3507040,Rideau_Lakes,3507024,Gananoque,35,15,20
3507040,Rideau_Lakes,3507021,Leeds_and_the_Thousand_Islands,40,10,30
3507040,Rideau_Lakes,3507015,Brockville,230,105,125
3507040,Rideau_Lakes,3507014,Elizabethtown-Kitley,55,35,20
3507040,Rideau_Lakes,3506008,Ottawa,310,180,130
3507042,Athens,3510010,Kingston,60,35,25
3507042,Athens,3509021,Perth,30,25,0
3507042,Athens,3509004,Smiths_Falls,25,0,25
3507042,Athens,3507042,Athens,215,130,85
3507042,Athens,3507040,Rideau_Lakes,40,25,15
3507042,Athens,3507021,Leeds_and_the_Thousand_Islands,25,10,10
3507042,Athens,3507017,Front_of_Yonge,20,10,10
3507042,Athens,3507015,Brockville,545,245,305
3507042,Athens,3507014,Elizabethtown-Kitley,130,80,50
3507042,Athens,3506008,Ottawa,25,20,0
3507052,Merrickville-Wolford,3509021,Perth,20,10,10
3507052,Merrickville-Wolford,3509004,Smiths_Falls,140,55,80
